Sexo;Grupo de edad (5);Periodo;Total
varones;de 16 a 19 años;1977TI;436,1
varones;de 16 a 19 años;1976TIV;433,4
varones;de 16 a 19 años;1976TIII;420,6
varones;de 20 a 24 años;1995TIV;554,9
varones;de 20 a 24 años;1995TIII;534,7
varones;de 20 a 24 años;1995TII;558,2
varones;de 20 a 24 años;1995TI;539,0
varones;de 20 a 24 años;1994TIV;527,4
varones;de 20 a 24 años;1994TIII;504,3
varones;de 20 a 24 años;1994TII;495,2
varones;de 20 a 24 años;1994TI;488,5
varones;de 20 a 24 años;1993TIV;481,0
varones;de 20 a 24 años;1993TIII;468,4
varones;de 20 a 24 años;1993TII;479,3
varones;de 20 a 24 años;1993TI;476,0
varones;de 20 a 24 años;1992TIV;460,8
varones;de 20 a 24 años;1992TIII;439,2
varones;de 20 a 24 años;1992TII;453,4
varones;de 20 a 24 años;1992TI;442,4
varones;de 20 a 24 años;1991TIV;424,7
varones;de 20 a 24 años;1991TIII;402,2
varones;de 20 a 24 años;1991TII;411,8
varones;de 20 a 24 años;1991TI;394,1
varones;de 20 a 24 años;1990TIV;375,8
varones;de 20 a 24 años;1990TIII;371,3
varones;de 20 a 24 años;1990TII;372,6
